Cluster,africa,becaus,befor,can,candi,cdc,costum,costume,countri,day,die,dress,ebola,everyon,excit,friday,fuck,fun,girl,give,gonna,good,halloween,happi,health,idea,ill,just,kid,lol,love,make,monitor,movi,new,night,onli,parti,peopl,plan,pumpkin,readi,realli,receiv,shit,start,thing,time,travel,treat,video,virus,wait,wanna,watch,wear,week,west,whi,work,year
1,0,0,0,0,0,0,0,0,0,0,0,0,0.553,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,2.035,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0
2,0.012,0.011,0.01,0.014,0.012,0.016,0.051,0.017,0.009,0.027,0.011,0.026,0.093,0.014,0.017,0.029,0.01,0.011,0.014,0.013,0.024,0.011,0.101,0.025,0.01,0.018,0.011,0.011,0.011,0.016,0.026,0.016,0.016,0.018,0.011,0.018,0.012,0.037,0.015,0.02,0.015,0.018,0.018,0.001,0.013,0.011,0.011,0.018,0.017,0.009,0.013,0.011,0.021,0.02,0.026,0.01,0.017,0.009,0.012,0.013,0.026
