"","africa","becaus","befor","can","candi","cdc","costum","costume","countri","day","die","dress","ebola","everyon","excit","friday","fuck","fun","girl","give","gonna","good","halloween","happi","health","idea","ill","just","kid","lol","love","make","monitor","movi","new","night","onli","parti","peopl","plan","pumpkin","readi","realli","receiv","shit","start","thing","time","travel","treat","video","virus","wait","wanna","watch","wear","week","west","whi","work","year"
"1",0,0.006,0.014,0.099,0.012,0,0.704,0.004,0,0.014,0.004,0.017,0.005,0,0.008,0.035,0,0.01,0.018,0.011,0.01,0.027,0.148,0.005,0,0.054,0.008,0.029,0,0.014,0.014,0.019,0,0,0,0.015,0.017,0.034,0.012,0.007,0,0.009,0.006,0,0,0.006,0.005,0.012,0,0.003,0.004,0,0.209,0,0,0.051,0.008,0.004,0.021,0.021,0.03
"2",0.013,0.011,0.009,0.007,0.012,0.017,0.003,0.017,0.01,0.028,0.011,0.026,0.106,0.014,0.018,0.028,0.012,0.01,0.013,0.013,0.025,0.01,0.096,0.026,0.01,0.015,0.011,0.009,0.011,0.016,0.026,0.016,0.017,0.019,0.012,0.018,0.011,0.036,0.015,0.021,0.016,0.018,0.018,0.034,0.015,0.011,0.011,0.018,0.018,0.01,0.013,0.012,0.007,0.021,0.027,0.007,0.018,0.01,0.011,0.013,0.025
